Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C12,100nF,C_0805_2012Metric,167.4325,-101.795,180.0,top
C13,1uF,C_0805_2012Metric,167.4325,-99.695,180.0,top
C14,10uF,C_0805_2012Metric,167.4325,-97.595,180.0,top
C17,220uF/35V,CP_Elec_8x10.5,88.6,-74.0,180.0,top
C7,100nF,C_0805_2012Metric,177.45,-56.6,180.0,top
C8,1uF,C_0805_2012Metric,177.45,-58.7,180.0,top
C9,10uF,C_0805_2012Metric,177.45,-60.8,180.0,top
D1,SMAJ33A,D_SMA,88.5,-90.5,180.0,top
D2,3.4V,D_SOD-123,170.325,-75.0,180.0,top
D3,3.4V,D_SOD-123,170.325,-78.2,180.0,top
D4,3.4V,D_SOD-123,170.325,-81.2,180.0,top
D5,3.4V,D_SOD-123,170.325,-84.3,180.0,top
D6,3.4V,D_SOD-123,170.325,-87.3,180.0,top
D7,3.4V,D_SOD-123,170.325,-90.3,180.0,top
F1_30AMP1,Fuse,FUSE-TH_4P-L19.8-W6.7_3557-2,102.6,-82.1,-90.0,top
J1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,191.27,-49.79,180.0,top
J10,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,191.31,-73.23,180.0,top
J11,Conn_01x03,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,132.96,-112.0,180.0,top
J12,Conn_01x03,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,145.96,-112.0,180.0,top
J13,Conn_01x03,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,158.96,-112.0,180.0,top
J15,XT60-M.,CONN-TH_XT60,88.4,-63.0,0.0,top
J16,Conn_01x03,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,120.04,-112.0,180.0,top
J2,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,191.27,-61.81,180.0,top
J3,XT60-M.,CONN-TH_XT60,88.4,-102.0,0.0,top
J4,Conn_01x22,PinSocket_1x22_P2.54mm_Vertical,158.93,-70.92,180.0,top
J5,Conn_01x04,JST_VH_B4P-VH-B_1x04_P3.96mm_Vertical,173.98,-112.0,180.0,top
J6,Conn_01x24,PinSocket_1x24_P2.54mm_Vertical,113.98,-70.0,0.0,top
J7,Conn_01x05,JST_VH_B5P-VH-B_1x05_P3.96mm_Vertical,190.55,-95.2225,-90.0,top
J8,Conn_01x22,PinSocket_1x22_P2.54mm_Vertical,136.07,-70.92,180.0,top
J9,Conn_01x24,PinSocket_1x24_P2.54mm_Vertical,129.2,-70.0,0.0,top
R1,33R,R_0603_1608Metric,174.3,-69.0,0.0,top
R10,10k,R_0603_1608Metric,166.4,-57.0,-90.0,top
R11,10k,R_0603_1608Metric,169.2,-40.475,90.0,top
R12,10k,R_0603_1608Metric,172.3,-40.5,90.0,top
R13,10k,R_0603_1608Metric,174.4,-40.475,90.0,top
R14,10k,R_0603_1608Metric,176.9,-40.5,90.0,top
R15,33R,R_0603_1608Metric,174.7,-57.0,-90.0,top
R16,33R,R_0603_1608Metric,173.1,-57.0,-90.0,top
R17,33R,R_0603_1608Metric,171.1,-57.0,-90.0,top
R18,33R,R_0603_1608Metric,168.0,-57.0,-90.0,top
R19,33R,R_0603_1608Metric,167.6,-40.5,90.0,top
R2,33R,R_0603_1608Metric,174.275,-67.4,0.0,top
R20,33R,R_0603_1608Metric,170.7,-40.475,90.0,top
R21,33R,R_0603_1608Metric,174.275,-65.8,0.0,top
R22,33R,R_0603_1608Metric,174.3,-64.2,0.0,top
R23,1.8k,R_0603_1608Metric,174.325,-77.0,0.0,top
R24,3.3k,R_0603_1608Metric,174.325,-81.6,180.0,top
R25,1.8k,R_0603_1608Metric,174.325,-80.1,0.0,top
R26,3.3k,R_0603_1608Metric,174.325,-84.7,180.0,top
R27,1.8k,R_0603_1608Metric,174.325,-83.1,0.0,top
R28,3.3k,R_0603_1608Metric,174.325,-87.7,180.0,top
R29,1.8k,R_0603_1608Metric,174.325,-86.2,0.0,top
R3,33R,R_0603_1608Metric,174.3,-72.2,0.0,top
R30,3.3k,R_0603_1608Metric,174.325,-90.7,180.0,top
R31,1.8k,R_0603_1608Metric,174.325,-89.2,0.0,top
R32,0R,R_0805_2012Metric,85.0,-56.0,90.0,top
R4,33R,R_0603_1608Metric,174.3,-70.6,0.0,top
R6,1.8k,R_0603_1608Metric,174.325,-75.4,0.0,top
R7,3.3k,R_0603_1608Metric,174.3,-73.8,180.0,top
R8,3.3k,R_0603_1608Metric,174.325,-78.6,180.0,top
R9,10k,R_0603_1608Metric,169.5,-57.0,-90.0,top
U1,SN74AHCT244,SOIC-20_L12.8-W7.5-P1.27-LS10.3-BL,172.395,-48.6,180.0,top
U2,CD74HC4050,TSSOP-16_4.4x5mm_P0.65mm,173.3625,-99.825,0.0,top
U5,Teensy4.1,Teensy41,121.5,-70.035,-90.0,top
U6,D24V50F5,D24V50F5,99.0925,-45.655,-90.0,top
